id,type,field,subfield,title,formula,unit,source,year,q_no,difficulty,verified
A0001,formula,発電,水力,水力発電の理論出力,P=9.8QHη,kW,教科書,,,,✅
A0002,formula,発電,水力,揚水発電の揚水入力,P=9.8QHη/η_pump,kW,教科書,,,,✅
A0003,formula,発電,火力,火力発電の熱効率(発熱量基準),η=3600/H×100,%,教科書,,,,✅
A0004,formula,発電,火力,火力発電の熱効率(出力・入力比),η=P_out/Q_in×100,%,教科書,,,,✅
A0005,number,発電,水力,水力出力係数,9.8,kN/m³,教科書,,,,✅
A0006,number,発電,水力,ペルトン水車の適用落差,300m以上,m,教科書,,,,✅
A0007,number,発電,水力,フランシス水車の適用落差,40〜600m,m,教科書,,,,✅
A0008,number,発電,水力,カプラン水車の適用落差,10〜60m,m,教科書,,,,✅
A0009,pitfall,発電,水力,有効落差(H)と総落差を混同しない,,,,,,, ⚠️
A0010,pitfall,発電,水力,出力単位はkW（Wではない）,,,,,,, ⚠️
A0011,pitfall,発電,火力,熱効率の分母は投入熱量（発電量ではない）,,,,,,, ⚠️
A0012,kakomon,発電,水力,水力発電所の落差分類,,,電験王,R07下,問1,★★☆☆☆,⚠️
A0013,kakomon,発電,水力,単位体積当たりの水の運動エネルギー,,,電験王,R07下,問2,★★☆☆☆,⚠️
A0014,kakomon,発電,水力,水力発電所の理論出力と各単位,,,電験王,R07上,問1,★☆☆☆☆,⚠️
A0015,kakomon,発電,水力,調整池式水力発電所の使用水量と有効貯水容量,,,電験王,R07上,問15,★★★☆☆,⚠️
A0016,kakomon,発電,水力,水力発電の水車・発電機・主変圧器の特徴,,,電験王,R06下,問1,★★☆☆☆,⚠️
A0017,kakomon,発電,水力,衝動水車を中心とした水力発電所,,,電験王,R06上,問1,★★★★☆,⚠️
A0018,kakomon,発電,水力,揚水発電所の電動機入力と発電機出力,,,電験王,R06上,問2,★★☆☆☆,⚠️
A0019,kakomon,発電,水力,水車の回転速度と比速度および水車の種類,,,電験王,R06上,問15,★★★★★,⚠️
A0020,kakomon,発電,水力,水力発電所の落差と理論式,,,電験王,R05下,問1,★★☆☆☆,⚠️
A0021,kakomon,発電,水力,水力発電所の発電電力量と汽力発電所の重油使用量,,,電験王,R05下,問15,★★★★☆,⚠️
A0022,kakomon,発電,水力,水車の比速度の定義と特徴,,,電験王,R05上,問1,★★☆☆☆,⚠️
A0023,kakomon,発電,水力,水力発電の特徴や現在の概況,,,電験王,R04下,問1,★★★☆☆,⚠️
A0024,kakomon,発電,水力,水力発電で使用される水車の特徴,,,電験王,R04下,問2,★★★☆☆,⚠️
A0025,kakomon,発電,水力,水力発電所における水車の特徴及び監視制御方式,,,電験王,R04上,問1,—,⚠️
A0026,kakomon,発電,水力,揚水発電所の揚水運転時の必要電力量及び流量,,,電験王,R04上,問15,—,⚠️
A0027,kakomon,発電,水力,水力発電所の落差を得る方法や流量調整による分類,,,電験王,R03,問1,—,⚠️
A0028,kakomon,発電,水力,連続の定理及びベルヌーイの定理,,,電験王,R03,問2,—,⚠️
A0029,kakomon,発電,水力,ダム水路式発電所における水撃作用及びサージタンク,,,電験王,R02,問1,—,⚠️
A0030,kakomon,発電,水力,貯水池を有する水力発電所の発電計画,,,電験王,R02,問15,—,⚠️
A0031,kakomon,発電,水力,水力発電所の水車及び発電機,,,電験王,R01,問1,—,⚠️
A0032,kakomon,発電,火力,汽力発電所で使用される保護装置,,,電験王,R07下,問3,★★★☆☆,⚠️
A0033,kakomon,発電,火力,重油専焼火力発電所の熱効率と二酸化炭素発生量,,,電験王,R07下,問15,★★★★☆,⚠️
A0034,kakomon,発電,火力,タービン効率と使用蒸気量の関係,,,電験王,R07上,問2,★★★☆☆,⚠️
A0035,kakomon,発電,火力,水と蒸気及び燃焼ガスの通過する順序,,,電験王,R07上,問3,★★★★☆,⚠️
A0036,kakomon,発電,火力,汽力発電における熱効率向上対策,,,電験王,R06下,問2,★★★★☆,⚠️
A0037,kakomon,発電,火力,衝動タービンと反動タービンの比較,,,電験王,R06下,問3,★★★★★,⚠️
